date,day,nominations_close,options,scratchings_close,status,time_slot,track,url
22/03/2018,Thursday,19/03/2018 11:00:00 AM,,22/03/2018 08:30:00 AM,Results Finalised,Twilight,Shepparton,https://fasttrack.grv.org.au/Meeting/Details/228694133
22/03/2018,Thursday,19/03/2018 09:00:00 AM,,22/03/2018 08:30:00 AM,Results Finalised,Night,Sandown Park,https://fasttrack.grv.org.au/Meeting/Details/228694134
22/03/2018,Thursday,20/03/2018 08:30:00 AM,,21/03/2018 04:00:00 PM,Results Finalised,Day,Sale,https://fasttrack.grv.org.au/Meeting/Details/282809491
23/03/2018,Friday,19/03/2018 12:00:00 PM,,22/03/2018 04:00:00 PM,Results Finalised,Day,Healesville,https://fasttrack.grv.org.au/Meeting/Details/228694121
23/03/2018,Friday,20/03/2018 10:00:00 AM,,23/03/2018 08:30:00 AM,Results Finalised,Night,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/228694135
23/03/2018,Friday,20/03/2018 01:00:00 PM,,23/03/2018 08:30:00 AM,Results Finalised,Twilight,Bendigo,https://fasttrack.grv.org.au/Meeting/Details/228694136
23/03/2018,Friday,20/03/2018 10:00:00 AM,,23/03/2018 08:30:00 AM,Results Finalised,Night,Geelong,https://fasttrack.grv.org.au/Meeting/Details/228694137
24/03/2018,Saturday,20/03/2018 11:00:00 AM,,24/03/2018 08:30:00 AM,Results Finalised,Twilight,Cranbourne,https://fasttrack.grv.org.au/Meeting/Details/228694130
24/03/2018,Saturday,20/03/2018 09:00:00 AM,,24/03/2018 08:30:00 AM,Results Finalised,Night,The Meadows,https://fasttrack.grv.org.au/Meeting/Details/228694138
07/03/2018,Wednesday,02/03/2018 11:00:00 AM,,07/03/2018 08:30:00 AM,Results Finalised,Night,Cranbourne,https://fasttrack.grv.org.au/Meeting/Details/228694051
07/03/2018,Wednesday,02/03/2018 10:00:00 AM,,07/03/2018 08:30:00 AM,Results Finalised,Twilight,Bendigo,https://fasttrack.grv.org.au/Meeting/Details/228694076
07/03/2018,Wednesday,02/03/2018 11:00:00 AM,,07/03/2018 08:30:00 AM,Results Finalised,Night,Ballarat,https://fasttrack.grv.org.au/Meeting/Details/228694077
07/03/2018,Wednesday,02/03/2018 01:00:00 PM,,06/03/2018 04:00:00 PM,Results Finalised,Day,Meadows (MEP),https://fasttrack.grv.org.au/Meeting/Details/228694078
08/03/2018,Thursday,05/03/2018 09:00:00 AM,,08/03/2018 08:30:00 AM,Results Finalised,Night,Sandown Park,https://fasttrack.grv.org.au/Meeting/Details/228694080
08/03/2018,Thursday,05/03/2018 01:00:00 PM,,08/03/2018 08:30:00 AM,Results Finalised,Night,Warrnambool,https://fasttrack.grv.org.au/Meeting/Details/228694081
08/03/2018,Thursday,05/03/2018 11:00:00 AM,,08/03/2018 08:30:00 AM,Results Finalised,Twilight,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/232147379
08/03/2018,Thursday,06/03/2018 08:30:00 AM,,07/03/2018 04:00:00 PM,Results Finalised,Day,Sale,https://fasttrack.grv.org.au/Meeting/Details/282809494
09/03/2018,Friday,06/03/2018 09:00:00 AM,,09/03/2018 08:30:00 AM,Results Finalised,Twilight,Bendigo,https://fasttrack.grv.org.au/Meeting/Details/228694083
09/03/2018,Friday,06/03/2018 10:00:00 AM,,09/03/2018 08:30:00 AM,Results Finalised,Night,Geelong,https://fasttrack.grv.org.au/Meeting/Details/228694084
09/03/2018,Friday,05/03/2018 12:00:00 PM,,08/03/2018 04:00:00 PM,Results Finalised,Day,Healesville,https://fasttrack.grv.org.au/Meeting/Details/228694127
09/03/2018,Friday,06/03/2018 02:00:00 PM,,09/03/2018 08:30:00 AM,Results Finalised,Night,The Meadows,https://fasttrack.grv.org.au/Meeting/Details/232147376
10/03/2018,Saturday,07/03/2018 08:30:00 AM,,10/03/2018 08:30:00 AM,Results Finalised,Night,Horsham,https://fasttrack.grv.org.au/Meeting/Details/232147377
10/03/2018,Saturday,06/03/2018 11:00:00 AM,,10/03/2018 08:30:00 AM,Results Finalised,Twilight,Shepparton,https://fasttrack.grv.org.au/Meeting/Details/232147378
11/03/2018,Sunday,07/03/2018 09:00:00 AM,,10/03/2018 04:00:00 PM,Results Finalised,Day,Healesville,https://fasttrack.grv.org.au/Meeting/Details/228694086
11/03/2018,Sunday,07/03/2018 10:00:00 AM,,11/03/2018 08:30:00 AM,Results Finalised,Twilight,Sale,https://fasttrack.grv.org.au/Meeting/Details/228694087
11/03/2018,Sunday,08/03/2018 08:30:00 AM,,10/03/2018 04:00:00 PM,Results Finalised,Day,Sandown (SAP),https://fasttrack.grv.org.au/Meeting/Details/228694088
12/03/2018,Monday,08/03/2018 09:00:00 AM,,12/03/2018 08:30:00 AM,Results Finalised,Twilight,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/228694089
12/03/2018,Monday,07/03/2018 11:00:00 AM,,11/03/2018 04:00:00 PM,Results Finalised,Day,Ballarat,https://fasttrack.grv.org.au/Meeting/Details/228694117
12/03/2018,Monday,08/03/2018 10:00:00 AM,,12/03/2018 08:30:00 AM,Results Finalised,Night,Shepparton,https://fasttrack.grv.org.au/Meeting/Details/228694164
13/03/2018,Tuesday,08/03/2018 11:00:00 AM,,13/03/2018 08:30:00 AM,Results Finalised,Twilight,Horsham,https://fasttrack.grv.org.au/Meeting/Details/228694090
